sep=\t
Module Resource Usage Distribution Estimates
Generated at: Mar 21, 2025 12:30:12

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top:top                                                     	    2988(0)	    1001(0)	    4262(0)	    18(0)	     0(0)	
 +uff:F_TO_F                                                	    2200(1)	     789(0)	    3198(0)	     0(0)	     0(0)	
  +uc:collector                                             	   171(171)	       0(0)	   368(368)	     0(0)	     0(0)	
  +ufl1:FLOAT_TO_FIXED_1                                    	   196(196)	     64(64)	   245(245)	     0(0)	     0(0)	
  +ufl2:FLOAT_TO_FIXED_2                                    	   372(372)	   133(133)	   441(441)	     0(0)	     0(0)	
  +ufl3:FLOAT_TO_FIXED_3                                    	   457(457)	   165(165)	   621(621)	     0(0)	     0(0)	
  +ufi1:FIXED_TO_FLOAT_1                                    	   179(179)	     83(83)	   185(185)	     0(0)	     0(0)	
  +ufi2:FIXED_TO_FLOAT_2                                    	   341(341)	   153(153)	   506(506)	     0(0)	     0(0)	
  +ufi3:FIXED_TO_FLOAT_3                                    	   433(433)	   191(191)	   747(747)	     0(0)	     0(0)	
  +ud:dout                                                  	     50(50)	       0(0)	     85(85)	     0(0)	     0(0)	
 +da:data_aligner(DATA_WIDTH=48)                            	   100(100)	       0(0)	   359(359)	     0(0)	     0(0)	
 +rd:rah_decoder(DATA_WIDTH=48,TOTAL_APPS=2)                	    282(94)	     67(33)	    178(59)	     6(0)	     0(0)	
  +FIFO_BLOCKS[0].ff:async_fifo                             	      94(0)	      17(0)	      59(0)	     3(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_6d3dd258b084434fa4aa3936f7d6386c(DEPTH=256,DATA_WIDTH=48,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      94(0)	      17(0)	      59(0)	     3(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_6d3dd258b084434fa4aa3936f7d6386c(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	     13(13)	     3(3)	     0(0)	
